benchmark_id,benchmark_name,category,problem_family,implementation_id,library,algorithm,planned_input_status,planned_capability_status,comparison_track,problem_scope,run_records,legacy_run_records,protocol_v3_run_records,protocol_v3_executed_records,protocol_v3_not_run_records,unique_instances,completed,time_limit,error,valid_complete,valid_partial,invalid_certificate,constraint_violation,no_solution,execution_status
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_brkga,u-nesting,BRKGA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,60,0,60,60,0,15,60,0,0,0,60,0,0,0,PROTOCOL_V3_EXECUTED
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_extreme_point,u-nesting,ExtremePoint,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,60,0,60,60,0,15,60,0,0,40,20,0,0,0,PROTOCOL_V3_EXECUTED
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_ga,u-nesting,GA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,60,0,60,60,0,15,58,2,0,0,58,0,0,2,PROTOCOL_V3_EXECUTED
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_layer,u-nesting,Layer/BottomLeftFill,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,60,0,60,60,0,15,60,0,0,0,60,0,0,0,PROTOCOL_V3_EXECUTED
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,rust_sa,u-nesting,SA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,60,0,60,60,0,15,60,0,0,0,60,0,0,0,PROTOCOL_V3_EXECUTED
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,skjolber_plain,skjolber/3d-bin-container-packing,Plain,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,exact_cp_sat,OR-Tools,strengthened CP-SAT model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,20,0,20,20,0,20,20,0,0,20,0,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,exact_cplex,CPLEX,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,exact_gurobi,Gurobi,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
